accountId,customerId,currency,openingBalance,validFrom,validTo
SIM-A0011,SIM-C001,CNY,1000000.00,2026-09-01,2026-10-01
SIM-A0012,SIM-C001,CNY,2000000.00,2026-09-01,2026-10-01
SIM-A0021,SIM-C002,CNY,800000.00,2026-09-01,2026-10-01
SIM-A0022,SIM-C002,USD,120000.00,2026-09-01,2026-10-01
SIM-A0031,SIM-C003,CNY,2100000.00,2026-09-01,2026-10-01
SIM-A0032,SIM-C003,CNY,900000.00,2026-09-01,2026-10-01
SIM-A0041,SIM-C004,CNY,600000.00,2026-09-01,2026-10-01
SIM-A0042,SIM-C004,CNY,300000.00,2026-09-01,2026-10-01
SIM-A0051,SIM-C005,CNY,1800000.00,2026-09-01,2026-10-01
SIM-A0052,SIM-C005,CNY,700000.00,2026-09-01,2026-10-01
SIM-A0061,SIM-C006,CNY,950000.00,2026-09-01,2026-10-01
SIM-A0062,SIM-C006,CNY,450000.00,2026-09-01,2026-10-01
SIM-A0071,SIM-C007,CNY,1600000.00,2026-09-01,2026-10-01
SIM-A0072,SIM-C007,CNY,400000.00,2026-09-01,2026-10-01
SIM-A0081,SIM-C008,CNY,500000.00,2026-09-01,2026-10-01
SIM-A0082,SIM-C008,CNY,200000.00,2026-09-01,2026-10-01
SIM-A0091,SIM-C009,CNY,1200000.00,2026-09-01,2026-10-01
SIM-A0092,SIM-C009,CNY,600000.00,2026-09-01,2026-10-01
SIM-A0101,SIM-C010,CNY,1100000.00,2026-09-01,2026-10-01
SIM-A0102,SIM-C010,CNY,300000.00,2026-09-01,2026-10-01
SIM-A0111,SIM-C011,CNY,900000.00,2026-09-01,2026-10-01
SIM-A0112,SIM-C011,CNY,900000.00,2026-09-01,2026-10-01
SIM-A0121,SIM-C012,CNY,1400000.00,2026-09-01,2026-10-01
SIM-A0122,SIM-C012,CNY,800000.00,2026-09-01,2026-10-01
